ID,Video Title,Views,Likes,Dislikes,Clickbait,Transcript
eRaDmVFuQgM,This Video Will Accurately Guess Your Age..,22797,1771,107,1,"A series of mind tricks designed to amaze viewers, including visual and audio illusions, and math tricks that seemingly read minds and guess viewers' thoughts and ages. It encourages viewers to participate by answering questions and using a calculator for the final age-guessing trick."
1iNoQSM8pqU,this video will make you forget your name..,916206,76981,3483,1,"A series of mind-bending optical illusions, including a train that changes direction based on focus, a hallway that alters speed when covered differently, disappearing dots, and illusions involving spinning objects and color perception. It concludes with an immersive illusion that makes viewers perceive movement in their surroundings."
t8N4L3MUE58,Real Things Said in Classrooms Pt. 26,439929,70227,564,0,"A student explains to his teacher that he's been sleeping on the floor because his family sold their beds to save up for silver bullets, necessary for protecting themselves from a werewolf that attacked his grandma. He emphasizes the seriousness of their family duty, despite the teacher's disbelief."
8Uqs5qevLYU,"POKEMON GO HACKS! TOP 5 BEST HACKS! (WALK ANYWHERE, CATCH MEWTWO, XP HACK +MORE!!) + GIVEAWAY!!",3150,57,15,1,"A top five countdown of the best Pokémon Go hacks, including teleporting anywhere, simulating catching Mewtwo, hatching eggs without walking, catching all six legendary Pokémon, and a bot that auto-captures Pokémon and farms XP. The creator is also running a giveaway for a Pokémon Go account to subscribers who comment on the video."
bOkSinDkj8w,PREGNANT SEX PRANK!,37521,1031,54,1,"A woman reveals she's pregnant with another man's child to a man she barely knows, but tries to continue their relationship, claiming the other man is out of the picture. The man is initially shocked and confused, expressing reluctance to be involved, but ultimately suggests they could be together after the baby is born."
3N5QX6VI9VA,"ADAM COLE On His AEW ALL OUT 2021 DEBUT, MAKING HIS DECISION & MORE!",224956,6856,114,0,"Adam Cole discussed his surprise departure from WWE, noting it caught him off guard despite initial plans for contract negotiations. He emphasized his excitement joining AEW, driven by his passion for wrestling and the opportunity to work creatively with like-minded individuals."
C9m2SaA3PDc,kid gets caught stealing PS5.. (MUST WATCH),61335,4655,281,1,"Adventure showcases kids caught stealing various expensive items, including a kid who stole chocolates and an iPhone from a store, a boy who used his mom's credit card to buy V-bucks, a six-year-old caught stealing candy, a boy who bought a PS4 with his mom's credit card, and a camper who stole his friends' belongings. Each story involves the kids getting caught and facing consequences for their actions."
4WK-5BTsgeE,Can We Break Into a BANK SAFE With This WRECKING BALL,1054025,61286,540,0,"An attempt to crack open a massive bank safe using various methods, including dropping a spiky ball and detailing the challenges faced in penetrating its layers of steel and concrete. Despite significant damage, they ultimately fail to fully breach the safe, leaving it intact and acknowledging the complexity of the task."
vHuFizITMdA,Turning cotton balls into cotton candy,1609573,131024,704,0,"An experiment attempting to convert cotton balls into edible cotton candy, initially using enzymes and later switching to sulfuric acid for cellulose breakdown. Despite challenges like impurities and equipment suitability, the process eventually yielded caramelized sugar usable in a cotton candy machine, though the outcome was unconventional and short-lived."
AjqBXAFlrTc,How Rickson Gracie Learned to Overcome Fear,471265,13724,149,0,"At 19, he fought King Zulu, a challenging opponent with 120 wins, in what was a defining moment for him, teaching him to overcome mental barriers and never give up. This experience emphasized the importance of mindset in martial arts and life, showing that conquering one's own doubts and fears is crucial for personal growth and resilience."
T8Ffq1X1ygQ,Why Nobody Wants This Part of Africa,1142293,41508,1018,1,"Beer to wheel, an unclaimed territory in Africa's Sahara Desert, remains lawless and uninhabited despite its location between Egypt and Sudan, both unwilling to forfeit their claims to the more valuable Hala'ib Triangle. Numerous attempts to establish micro-nations on Beer to wheel have been made, yet its remote, undeveloped nature and lack of infrastructure pose significant challenges to any potential sovereignty."
q_S-96-pLxU,"Big30 Talks About Memphis, Pooh Shiesty, Moneybagg Yo, Blrrrd Adlib, Yo Gotti, OTF, Debut Tape",584870,11624,247,0,"Big 30 discusses his experiences growing up in South Memphis, his rise in the music industry, and the challenges he's faced, including losing his Instagram page and dealing with industry politics. He also talks about his close relationships with fellow artists like Pooh Shiesty and Moneybagg Yo, his goals for his label Chopper Gang, and the sacrifices he's made for his career, particularly missing time with his children to build a better future for them."
haL--xiqA0E,"BRYAN DANIELSON TALKS AEW AT ALL OUT 2021 DEBUT, WHY HE LEFT WWE, RELATIONSHIP W VINCE MCMAHON",266523,7779,156,0,"Brian Danielson discusses his excitement joining AEW to challenge himself against talented wrestlers like Kenny Omega and Jungle Boy, appreciating AEW's creative freedom compared to WWE, and acknowledges the difficulty in leaving WWE despite enjoying his time there."
AxapZvcWmfw,I Built a REAL Chick-fil-A in my House!!!,1248102,31343,1405,0,"Building a Chick-fil-A replica in a backyard and operating it only on Sundays, despite Chick-fil-A traditionally being closed on Sundays. They replicate Chick-fil-A's menu, décor, and even hire a mascot to attract customers. Despite initial slow business, their efforts eventually draw in customers, and they manage to sell out their food."
prMwC2MS_VE,As promised... 1 MILLION SUBSCRIBER SPECIAL,17761147,486781,68060,1,"Celebrating the achievement of reaching one million subscribers on YouTube with excitement and playful interactions, including joking about paying for items with subscribers and taking pictures with fans before possibly getting kicked out of a location."
tyt3MUAWGfM,Speedrunning Cuphead is much harder than you think,675641,31018,420,0,"Cuphead speedrun where the player navigates through various challenging boss battles using optimized strategies and specific weapon loadouts to achieve a time of 47 minutes and 15 seconds, ultimately completing the game and reflecting on the intense but rewarding experience of speedrunning Cuphead."
B6v6I4u7LJU,WHO CAN PUNCH THE HARDEST IN AMP,232821,14510,99,0,"Davis tests the punching power of various individuals, highlighting their technique and scores, ultimately revealing himself as the hardest puncher in AMP."
sckA6yvi-5g,"Game Theory FNF, The Bob Mod SOLVED! (Friday Night Funkin)",1783044,115093,1545,0,"discusses a complex alternate reality game (ARG) stemming from a Friday Night Funkin' mod named ""Bob Week."" Initially believed to be canonically related to the game, it eventually unfolded as an elaborate web of puzzles and clues involving mysterious characters and cryptic messages, showcasing a blend of creativity and community engagement."
LXLmSz4Wb9w,Full Cabin Tour Before & After 1 Year of Renovations,388719,30946,283,0,"Eamon and Bec showcase their rustic cabin, featuring recent renovations like new bathrooms and a revamped kitchen with maple countertops. They highlight the joys of living on three acres of waterfront land, complete with outdoor amenities like a gym, hot tub, and boat dock, all while anticipating future travel adventures."
hLD9-V59BLg,Falling Into The Genshin Impact Hole,1009232,134932,684,0,"Emily finally joins the Genshin Impact craze, sponsored by the game itself. She explores its stunning visuals, diverse characters like Raiden Shogun and Paimon, and enjoys non-combat quests while cautiously navigating the gacha system, all while expressing newfound fandom for characters like Kaeya and Xiangling."
mXLUB1_hlYw,SURPRISING ALISSA VIOLET!!,7356040,250293,18997,1,"FaZe Banks' vlog where he sets up a P.O. box for fan mail, plans a surprise for Alissa in Miami."
92XN2kog_uI,GHOST HUNTING in GTA 5! (DO NOT Play at 3:OOam),297823,9916,327,1,"Gamers exploring a haunted location in GTA 5, attempting to encounter and defeat a ghost rumored to haunt the area. Despite eerie encounters and a suspenseful search, they ultimately find and transform into ghosts themselves, concluding with a call to like, subscribe, and view more content."
3nHWYFbKcs4,"Ohio State at Minnesota C.J. Stroud Looks Good in Opener vs Gophers Sept. 2, 2021 Highlights",139105,1084,68,0,"Highlights from an Ohio State vs. Minnesota football game, featuring key plays like long touchdowns, interceptions, and impactful defensive stops, leading to Ohio State's victory with a final score of 45-31 over Minnesota."
0cVrM49M9Y4,I Started a Secret Base War,872678,21409,379,0,"In a Minecraft server prank war, after being pranked with deadly traps by Branzi, the narrator retaliates by secretly installing ten complex hidden entrances in Branzi's base, each triggered by unique mechanisms like hidden buttons and furnace interactions, leading to tense moments and unexpected alliances during their elaborate schemes."
3dvRmfYzs6g,I Got My Girlfriend Pregnant?,486012,30544,2121,1,"In a Q&A video, Morgz humorously responds to various assumptions about him, including his height, drinking habits, and YouTube career. He denies doing YouTube solely for money, clarifies that he is not a millionaire but a multi-millionaire, and jokes about a fake pregnancy with his girlfriend. He also mentions future plans to relaunch his merch store."
NuEkyLZVTFM,Hunting MYSTERIOUS CREATURES in GTA 5!,555834,12034,420,1,"In GTA 5, the team hunts for Bigfoot with a supposed expert and cameraman, leading to a series of comedic and chaotic events, including encounters with a Sasquatch nightmare monster and a bizarre cult. Despite several mishaps and scares, they manage to kill the monster and escape, concluding with a humorous acknowledgment of the adventure."
gx-9S5T_U5g,Touch My Body Challenge!,96489384,551412,106011,1,"In this ""Touch My Body Challenge"" video, two hosts, known as Host 1 and Host 2, blindfold each other and take turns guiding each other's fingers to different parts of their bodies."
BXON04DtguY,"Minecraft, But Upside Down",667069,48756,1442,0,"In this Minecraft challenge, the player navigates an upside-down world, struggling to gather resources and reach a jungle temple in search of a diamond while avoiding falling into the sky."
sESRuTyfsEk,I Spent 24 Hours Straight In Prison - Challenge,85546693,1649332,41455,1,"In this video, participants embark on a 24-hour challenge in an insane asylum, divided into two teams: Team Red and Team Black."
k0vHQsvEMo4,Creepy Tik Toks You Should NOT Watch At Night,46930,2308,1603,1,"In this video, the host challenges viewers to a staring contest and then reacts to creepy TikToks that shouldn't be watched at night, showcasing unsettling clips involving teddy bears, unknown creatures, and eerie sounds. The host gets increasingly scared, especially as it is 3 AM and he is home alone, and he encourages viewers to like and subscribe if they want to see more reactions in the future."
4ljLVbh63Uk,"Cutting Peoples Earphones, Then Giving Them Airpods",43680379,1297208,40894,1,"In this video, the YouTuber conducts a prank by cutting people's headphones and then surprising them with AirPods."
mu4xGNwz0OY,Notre Dame vs. Florida State Condensed Game 2021 ACC Football,226372,1993,87,0,"Jack Cone leads Notre Dame to a 41-38 victory over Florida State in a closely contested game, highlighted by Michael Mayer's standout performance and key interceptions by Kyle Hamilton for the Irish defense."
UYhhzHUqg4A,I Googled Myself...,893833,131128,474,0,"Jack Manifold humorously recounts his experience Googling himself, discovering misinformation and exaggerated details about his life online, ranging from his net worth to his physical appearance and personal history, leading to a comical exploration of internet rumors and trivia."
F4isanhNqS0,I Flew To MrBeast's House & Knocked On His Door,13084890,283248,147853,1,"Jake Paul and his crew visit Greenville, North Carolina, aiming to sell Mr. Beast's house in a humorous adventure filled with unexpected encounters and neighborhood exploration."
CxoBD-_y8gE,SELF DRIVING TESLA IN DRIVE THRU PRANK (FREAKOUTS),10127363,295887,88234,1,"Jake Paul's vlog recounts a wild day including a friend getting his face tattooed on another's leg, scaring Tessa, saying goodbye to a beloved waterslide, a prank at a drive-thru with Blood Shark, and a chaotic merch gun showdown, all ending with a commercial break and a call to join the Jake Pauler movement."
cXww-JHW2uI,DM'ing 100 TikTok Celebrities To See Who Would Reply (ft. Charli D'Amelio & Addison Rae),10526949,279653,7741,1,"Jarvis embarked on a mission to DM 100 TikTok celebrities, engaging in humorous banter and attempts at conversation, eliciting various responses ranging from surprise and amusement to anger and curiosity, with some interactions leading to unexpected outcomes."
tUFwR65wYGY,INSANE MINECRAFT CHALLANGE - DRAWING SUBSCRIBERS EVERYDAY (DAY 33) #shorts,227386,18128,414,0,Jblox aims to become the most subscribed Minecraft YouTuber by drawing one of his subscribers daily.
UE8lAZVIwac,DONT PLAY GTA 5 AT 3:00 AM.. (scary),2974379,78932,10362,1,"Jimmy explores the eerie phenomena in GTA 5's sewers at 3 a.m., where players report paranormal experiences and sightings of ""Rat Man,"" a mysterious figure rumored to sprint at alarming speeds. Despite skepticism, Jimmy delves into the unsettling environment, speculating on connections to aliens and deciphering clues like Morse code, inviting viewer input on these chilling discoveries."
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,139036071,2730121,68394,0,"Jimmy's experience of spending 50 hours in solitary confinement, where he endures various forms of torture and pranks orchestrated by his friends."
PugcxQYJGjs,Lanky Kong listens to DK Rap for the first time,839745,102699,567,0,"Lanky Kong reacts to the ""DK Rap"" with enthusiasm until his verse portrays him negatively, causing frustration about his portrayal compared to others in the song, emphasizing his dissatisfaction with the lyrics and feeling misrepresented."
kjZeT-dGDrY,Something Scary Happened To Her Sister....,5615425,174009,5316,1,"Leah's sister exhibits strange behavior after a supposed accident, leading to unsettling encounters and disappearances, leaving Leah and her friends deeply unsettled and questioning reality."
aCZSrSRkqIo,BRENT AND I PRANK OUR MOM!!,15114182,375282,7265,1,"Lexi and her brother Brent prank their mom with various pranks, including putting glue in her lotion, fake bird poop, and fake blood to pretend Lexi got run over by a car, ending with a surprise gift of paying for their parents' vacation."
05K5glVCwis,Trying TikTok Computer Hacks...,1898229,107379,2248,0,"Linus reviews several TikTok tech tips, starting with using old DVRs from thrift stores for cheap hard drives, highlighting both potential savings and risks. He also critiques a TikTok about freeing up space on PCs, praising the idea but noting its incomplete execution. Lastly, he explores TikTok ""hacks"" including methods for viewing private Instagram posts and editing web pages, assessing their practicality and ethical implications."
vpW0YP-ELx0,SHE ALMOST FELL OFF THE ROLLER COASTER! - GONE WRONG,5350343,82628,3357,1,"Lizzy and the narrator struggle with a persistent bug problem in their apartment and have maintenance address it multiple times. They also discuss issues with their air conditioning and plan to attend a Halloween event, where they enjoy various rides and mazes. After the event, they return home to find a thoughtful gift from fans and express their appreciation for their support."
bCWMH-fYL54,Surprising Lox With MrBeast.. (Real Life),118780,4535,199,1,"Lox meets MrBeast in a gaming session and engages in challenges and pranks to get MrBeast on a call, eventually revealing a prank where Lox pretends to be MrBeast to fool him, leading to humorous interactions and challenges in-game."
A-Uva3rlc8s,"Minecraft, But You Can Shear Any Block...",1671133,71767,1788,0,"Minecraft adventure where super shears are used to shear blocks, yielding unique items like a glass sword and TNT leggings. The player crafts powerful gear from these sheared blocks, including an iron block chestplate and a bedrock sword, and ultimately defeats the Ender Dragon using explosive tactics and specialized items."
5jyj5aJaLfc,Minecraft But Blocks Randomly Change When You Look At Them,1119179,69823,1678,0,"Minecraft challenge where blocks randomly change when looked at, complicating the search for diamonds. Despite initial setbacks like losing tools and disappearing diamonds, the player eventually succeeds in finding and mining diamonds to complete the challenge."
5bQUqTsC0JA,I TOOK 10 PENALTIES AGAINST A PREMIER LEAGUE KEEPER,1363546,98995,597,0,"Mini-Minter returns to YouTube after a hiatus, motivated by redemption after missing penalties against the Arsenal Women's team. He practices intensely and challenges professional goalkeeper Ben Foster, ultimately scoring several penalties but also missing a crucial one, reflecting on the difficulty of the task."
KkGOGL9-gUU,GIRLFRIEND Controls My Life For 24 HOURS! - Challenge,2278256,64388,27456,1,"Morgan reluctantly allows his girlfriend to control his day for 24 hours, enduring tasks like an ice bath, wearing a chicken costume, embarrassing himself during a KFC delivery, and even cutting his hair poorly. The day culminates with building a tent to sleep outside and ends with an awkward call to his ex, all for the sake of a YouTube video."
5PylU5ttdgo,I Tested WEIRD VIRAL Food Combinations... (TikTok Edition),1297863,39839,13426,1,"Morgan tests 10 bizarre food combinations from TikTok, earning money for each successful taste. Combos include sour gummy worms in a hot dog bun for £1, McDonald's fries in ice cream for £5, Lucky Charms on nachos for £10, banana with ketchup for £25, and Oreos with onions for £50. Despite challenges like Lotus biscuit spread on KFC for £100 and cinnamon on watermelon for £250, he succeeds until the final challenge of pickles in peanut butter for £1,000."
7coA4_yfyJA,"Last To Open Their Eyes Wins $20,000 - Challenge",1194409,27744,9215,1,"Morgz and his friends compete in a challenge where they must keep their eyes closed to win $20,000, facing various tasks blindfolded, from gaming to even accidentally wandering outside and almost falling off a cliff, resulting in unexpected and hilarious outcomes throughout the challenge."
7oH9IvIhQi0,DMing 100 YouTubers Asking For A Dare! (i regret this),1291272,105966,5737,1,"Morgz DMs 100 top YouTubers for dares, receiving challenges like fake boxing announcement, bush dive, ketchup-filled socks, spray-painting a car, and cutting his mom's hair. The video culminates in a prank makeup session and ends with a promise of a giveaway for failing dares, with potential for a part two if it hits 100,000 likes."
X499udfoYKU,12 Types of Students in Every Computer Class,1166494,56814,1059,0,"Mr. Dan, a PE teacher now teaching computer class, struggles comically with basic technology while his students face various mishaps and distractions, including gaming in class and quirky attempts at troubleshooting, all amid his earnest but humorous efforts to impart computer skills."
MEPlwur1zjs,Daddy Yankee - MTELE AL PERREO (Official Video),17750100,201744,9571,0,Music Video
pAzEY1MfXrQ,ABBA - I Still Have Faith In You,14308318,304916,6870,0,Music Video
vX9msKu75qs,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),13630604,503416,21303,0,Music Video
hWGWFa3jznI,ABBA - Don't Shut Me Down (Lyric Video),6974136,198395,2919,0,Music Video
THVbtGqEO1o,Drake - Fair Trade (Audio) ft. Travis Scott,6217842,232483,3940,0,Music Video
tXHhgLkBml4,"Jhay Cortez, Anuel AA - Ley Seca (Official Video)",4191598,202802,3447,0,Music Video
AxE6wEuLHQ0,Champagne Poetry,3737793,97297,4524,0,Music Video
oqICzYBjjTw,DaBaby - Wockesha (Freestyle) [Official Video],1823136,137724,3211,0,Music Video
4-BfhjZyCzs,Crucify But Everyone Sings It (Friday Night Funkin' Animation),1117549,30283,1157,0,Music Video
cgqlihvt0a0,Big30 - Free Shiest Life ft. Pooh Shiesty (Official Video),1046498,39291,473,0,Music Video
HTpXpGAQ9hk,CG5 - Vibrant Eyes [Dream SMP original song],1039172,125160,754,0,Music Video
eB-0qQzJBxs,Mario Vs Luigi - Cartoon Beatbox Collabs,566318,28294,495,0,Music Video
5HqMh-JjohA,JayDaYoungan - All Rise [Official Music Video],385234,25654,570,0,Music Video
0SLgKlJVD28,All About Tha (BOOM!) Adam Cole AEW Entrance Theme AEW Music,329106,15898,143,0,Music Video
fGeBKxkOeyg,Lil Duval - Sexy (Official Video) ft. Boosie Badazz,315321,20784,501,0,Music Video
LUtVmVBOf94,Battlefield 2042 NEW Gameplay and Details!,1243918,45419,1406,0,"New gameplay footage from Battlefield 2042, featuring four specialists: McKay, Maria, Boris, and Casper, each with unique abilities and traits. Additionally, it introduces Battlefield Mobile, highlighting its features like classic maps, vehicles, and first-person gameplay, emphasizing its free-to-play model with cosmetic-only microtransactions and upcoming playtests in select regions."
3Fus4Xb_TLg,The Wheel Of Time Official Teaser Trailer Prime Video,4457949,61444,3576,0,Official Video
LLQNiiZgz9A,Yellowstone Season 4 Official Trailer Paramount Network,1950445,6309,278,0,Official Video
r1QJ08dsIKA,Rick and Morty S5E9 Cold Open Morty Cleans Up Rick's Mess adult swim,1734668,37655,294,0,Official Video
LEt_PaG4TCY,Clash Royale Enter the EXECUTIONER'S KITCHEN! (New Season! Balance Changes!),1427958,39725,990,0,Official Video
7f7ReYaqV6I,Carlos Alcaraz vs Stefanos Tsitsipas Highlights 2021 US Open Round 3,1411523,16551,444,0,Official Video
5wvATZb7-Eo,Exclusive Images of deserted Kabul airport hours after US withdrawal FRANCE 24 English,781701,6179,483,0,Official Video
uiQ4c1UNUps,Discord's You Laugh You Lose 4 YLYL,374653,39200,250,0,"Participants join a laughter challenge, aiming not to laugh at jokes. The host introduces jokes, leading to occasional chuckles and laughter, with moments of comedic interactions and reactions among friends and participants."
81mXAkFEkMs,10 Real Life Giants You Won't Believe Exist,6890718,15222,2858,1,"Real-life giants, including individuals like Igor Vovkovinskiy, Rumeysa Gelgi, and Zhang Zhang Kai."
3breWY0OYYg,I thought this golf club was a HUGE GIMMICK but....,296621,6281,71,0,"Reviews a unique hybrid wedge designed for short shots around the green, boasting a hollow head and a wide sole aimed at reducing mishits. Despite initial skepticism, the wedge proves effective for minimizing duff shots, though its unconventional design and difficulty in distance control suggest it's best suited for beginners or those struggling with chipping."
cSScHSu-4dw,Rick and Morty is Real.,583682,12996,1006,0,"Rick and Morty pays homage to its inspiration, Back to the Future, with a cameo from Christopher Lloyd as Rick Sanchez in a new teaser celebrating the season five finale. This live-action adaptation excites fans, especially given Lloyd's admiration for the show and his iconic role as Dr. Emmett Brown."
l9VfMBczLJs,"Paul Heyman gives Roman Reigns a message from Brock Lesnar SmackDown, Sept. 3, 2021",1948490,55238,1037,0,"Roman Reigns is interrupted during a live TV segment with Paul Heyman by news of Brock Lesnar's impending appearance at Madison Square Garden. Heyman reveals Lesnar called him, sparking intrigue about Lesnar's whereabouts and Reigns' response to the unexpected challenge."
HuQfyK26npU,"6 YouTubers Who FORGOT THEY WERE RECORDING! (DanTDM, Crainer, Tfue, Pokimane, Morgz, FaZe H1ghSky1)",197718,15177,512,1,"Six YouTubers who had embarrassing moments while recording. It includes instances like TeePee forgetting to end his livestream and changing clothes while still live, and Fangs falling asleep and then off a chair during her FIFA livestream. Other moments include Pokimane accidentally bending over in front of her camera and DanTDM getting scared by his wife on camera. Each segment shows their reactions to realizing they were still recording, adding humor and embarrassment to their content."
bi12zACCTak,The Scariest and Most Interesting Pranks in the World. You Must See Them!,7969526,121749,4372,1,Some of the most inventive social pranks ever pulled.
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",102918727,3438692,62348,1,"Ten contestants compete in various challenges to win an entire island, with eliminations based on both physical tasks and social strategy."
9NQQKNAwaPk,10 Mythical CREATURES That Actually Existed,2089601,46750,1954,1,"ten mythical creatures that had real-life counterparts, including dire wolves, unicorns (Siberian unicorns), Komodo dragons, bunyips (based on diprotodon remains), gorillas (first discovered in 1847), basilisks (potentially inspired by cobras), platypuses (initially thought a hoax), Cyclops (based on dwarf elephant skulls), Kraken (possibly giant squids), and hobbits (small human-like species found in 2003)."
WMgie1MqwJM,Testing Level 100 Clickbait Minecraft Hacks!,966850,26354,828,0,"Testing various Minecraft myths, confirming some, like climbing powdered snow with leather boots and creating infinite lightning with tridents and pistons, while debunking others, such as goats headbutting armor stands. It explores unconventional techniques like using candles to reveal diamonds and smelting wet sponges into water buckets, showcasing surprising interactions within the game mechanics."
s7MTM4BKZ_E,Why Anecdotes Trump Data,980055,36060,1347,0,"The challenges of communicating scientific findings versus compelling narratives, using examples like the ""bystander effect"" experiment and contrasting it with the misconceptions around Zika virus and larvicide. He argues that while stories captivate, scientific rigor demands repetition and statistical analysis, highlighting a tension between effective communication and scientific accuracy in media like Mythbusters and Veritasium."
HpvHiNf8z3w,Official Moving Day!,656606,41401,1706,0,"The couple is overwhelmed by the transition to their new home in Colorado, expressing excitement about the unique features and the welcoming neighborhood. They look forward to settling in, buying new furniture, and attending a welcoming party hosted by the previous owners, who share a personal connection. They also recount a dramatic moment of being locked out during a tornado warning."
x_qSdnjhbw4,Building an UNBREAKABLE TESSERACT CUBE!,1687124,81479,1474,0,"The creation of an advanced unbreakable box, featuring intricate design processes and material testing, culminating in a sturdy cube resistant to extreme physical challenges, including tests by athletes, showcasing its durability and complexity."
RxN33FlwOYE,Notre Dame Fighting Irish at Florida State Seminoles Full Game Highlights,190217,2183,88,0,"The game between Notre Dame and Florida State featured thrilling moments including key touchdowns, interceptions, and a back-and-forth battle culminating in Notre Dame's victory in Tallahassee."
WQon-XHvny8,OFFICIAL SCIENTIST Mod in Among Us,3607286,238848,3356,0,"The gameplay revolves around an evil scientist role in a modded version of Among Us, featuring traps, experiments, and mind control. Players navigate tasks and avoid deadly traps while trying to survive or escape the scientist's experiments, adding a chaotic twist to the usual gameplay dynamics of the popular game."
aUWduIWPvzU,"Food Theory M&Ms Melt In Your Hand, LIE To Your Face!",1479613,90227,1704,0,"the iconic slogan ""Melts in your mouth, not in your hand"" for M&M's is scientifically inaccurate. While the candy shell doesn't melt due to its composition, the chocolate inside can indeed melt in your hand, debunking the slogan's claim entirely."
N88OE2ZCHBM,Why Millennials Are Leaving Six-Figure Tech Jobs,1113339,18997,1040,1,"The lavish perks and high salaries in the tech industry, highlighting how these incentives aim to attract and retain top talent despite issues like burnout and stagnation. Former tech workers discuss their reasons for leaving, citing stress, lack of growth opportunities, and a desire for more meaningful work, with some opting to start their own ventures outside the tech bubble."
